method,symbol,date,entry,exit,sl,tp,outcome,days,pnl,pnl_pct,ml_prob
RULES,GOLD_CFD,2025-04-14,3204.8,3406.2,3108.656,3349.016,WIN,4,125.69,6.28,
RULES,GOLD_CFD,2025-04-22,3400.8,3276.3,3298.776,3553.836,LOSS,1,-73.22,-3.66,
RULES,GOLD_CFD,2025-04-24,3332.0,3210.0,3232.04,3481.94,LOSS,5,-73.23,-3.66,
RULES,GOLD_CFD,2025-05-02,3231.8999,3411.3999,3134.9429,3377.3354,WIN,2,111.08,5.55,
RULES,GOLD_CFD,2025-07-22,3439.2,3371.0,3389.325,3593.964,LOSS,2,-39.66,-1.98,
RULES,GOLD_CFD,2025-09-05,3613.2,3780.6001,3558.8357,3775.794,WIN,12,92.66,4.63,
RULES,GOLD_CFD,2025-10-17,4189.8999,4087.7,4064.2029,4378.4454,LOSS,2,-48.78,-2.44,
RULES,GOLD_CFD,2025-10-22,4044.3999,3966.2,3923.0679,4226.3979,LOSS,4,-38.67,-1.93,
RULES,GOLD_CFD,2025-10-29,3983.7,4204.3999,3864.189,4162.9665,WIN,10,110.8,5.54,
RULES,GOLD_CFD,2025-12-12,4300.1001,4529.1001,4215.4787,4493.6046,WIN,9,106.51,5.33,
RULES,GOLD_CFD,2025-12-29,4325.1001,4604.2998,4224.9859,4519.7296,WIN,9,129.11,6.46,
RULES,GOLD_CFD,2026-01-13,4589.2002,4831.7998,4478.5109,4795.7142,WIN,5,105.73,5.29,
ML_FILTERED,GOLD_CFD,2025-07-22,3439.2,3371.0,3389.325,3593.964,LOSS,2,-39.66,-1.98,0.566
