method,symbol,date,entry,exit,sl,tp,outcome,days,pnl,pnl_pct,ml_prob
RULES,SILVER_CFD,2025-06-09,36.688,35.976,35.6341,39.623,LOSS,8,-38.81,-1.94,
RULES,SILVER_CFD,2025-06-23,36.153,39.101,35.3904,39.0452,WIN,20,163.08,8.15,
RULES,SILVER_CFD,2025-07-22,39.32,38.167,38.3418,42.4656,LOSS,3,-58.65,-2.93,
RULES,SILVER_CFD,2025-07-28,38.026,36.552,37.0703,41.0681,LOSS,3,-77.53,-3.88,
RULES,SILVER_CFD,2025-10-10,46.938,51.073,45.5299,50.693,WIN,3,176.19,8.81,
RULES,SILVER_CFD,2025-10-17,49.864,47.45,48.3681,53.8531,LOSS,2,-96.82,-4.84,
RULES,SILVER_CFD,2025-10-23,48.482,46.562,47.0275,52.3606,LOSS,2,-79.2,-3.96,
RULES,SILVER_CFD,2025-11-13,53.074,50.59,51.4818,57.3199,LOSS,1,-93.61,-4.68,
RULES,SILVER_CFD,2025-11-17,50.625,56.446,49.1062,54.675,WIN,8,229.97,11.5,
RULES,SILVER_CFD,2025-12-01,58.418,63.929,56.6655,63.0914,WIN,8,188.67,9.43,
RULES,SILVER_CFD,2026-01-02,70.556,80.53,68.4393,76.2005,WIN,2,282.73,14.14,
ML_FILTERED,SILVER_CFD,2025-06-11,36.166,35.976,35.2086,39.0593,LOSS,6,-10.51,-0.53,0.443
ML_FILTERED,SILVER_CFD,2025-07-22,39.32,38.167,38.3418,42.4656,LOSS,3,-58.65,-2.93,0.427
ML_FILTERED,SILVER_CFD,2025-11-20,50.247,56.446,48.7396,54.2668,WIN,5,246.74,12.34,0.49
