date,equity
2001-06-20,9975.0
2001-06-26,9950.06
2001-08-17,9925.19
2001-08-20,9900.37
2001-08-21,9875.62
2001-08-22,9850.93
2001-08-23,9826.31
2001-08-24,9895.09
2001-08-27,9964.36
2001-08-28,10034.11
2001-08-29,10104.35
2001-09-27,10079.09
2001-09-28,10053.89
2001-10-03,10028.75
2001-10-04,10003.68
2001-10-05,9978.67
2001-10-08,9953.73
2001-10-09,9928.84
2001-10-16,9904.02
2002-01-07,9973.35
2002-01-08,10043.16
2002-01-09,10113.46
2002-01-10,10184.26
2002-01-11,10255.55
2002-01-14,10327.34
2002-01-15,10399.63
2002-01-16,10472.42
2002-01-17,10545.73
2002-01-18,10619.55
2002-01-22,10693.89
2002-01-23,10768.75
2002-01-24,10844.13
2002-01-25,10920.04
2002-01-28,10996.48
2002-01-29,11073.45
2002-01-30,11150.96
2002-01-31,11229.02
2002-02-01,11307.62
2002-02-04,11279.36
2002-02-05,11251.16
2002-02-06,11223.03
2002-02-07,11194.97
2002-02-08,11166.98
2002-02-11,11139.07
2002-02-12,11111.22
2002-02-13,11083.44
2002-02-14,11055.73
2002-02-15,11028.09
2002-02-19,11000.52
2002-02-20,10973.02
2002-02-21,10945.59
2002-02-22,10918.23
2002-02-25,10890.93
2002-03-05,10863.7
2002-03-27,10836.54
2002-04-01,10809.45
2002-04-02,10782.43
2002-04-10,10857.91
2002-04-11,10933.91
2002-04-12,11010.45
2002-04-15,11087.52
2002-04-16,11165.13
2002-04-17,11243.29
2002-04-18,11321.99
2002-04-19,11401.25
2002-04-22,11481.06
2002-04-23,11561.42
2002-04-24,11642.35
2002-04-25,11723.85
2002-04-26,11694.54
2002-04-29,11665.3
2002-04-30,11636.14
2002-05-01,11607.05
2002-05-02,11688.3
2002-05-03,11659.08
2002-05-06,11629.93
2002-05-07,11600.86
2002-05-08,11682.06
2002-05-09,11652.86
2002-05-10,11623.72
2002-05-13,11594.66
2002-05-14,11675.83
2002-05-15,11646.64
2002-05-16,11617.52
2002-05-17,11588.48
2002-05-20,11559.51
2002-05-21,11530.61
2002-05-22,11501.78
2002-05-23,11473.03
2002-05-30,11444.34
2002-06-04,11415.73
2002-06-05,11387.19
2002-06-06,11358.73
2002-06-07,11330.33
2002-06-10,11302.0
2002-06-11,11273.75
2002-06-12,11245.56
2002-06-13,11217.45
2002-06-14,11189.41
2002-06-17,11161.43
2002-06-18,11133.53
2002-06-19,11105.7
2002-06-20,11077.93
2002-06-21,11050.24
2002-07-02,11022.61
2002-09-10,10995.05
2002-09-11,10967.57
2002-09-12,10940.15
2002-09-13,10912.8
2002-09-16,10885.52
2002-09-17,10858.3
2002-09-18,10831.16
2002-09-19,10804.08
2002-09-20,10777.07
2002-09-23,10750.13
2002-09-24,10723.25
2002-09-25,10696.44
2002-09-26,10669.7
2002-09-27,10643.03
2002-09-30,10616.42
2002-10-01,10589.88
2002-10-02,10563.4
2002-10-03,10536.99
2002-10-04,10510.65
2002-10-07,10484.38
2002-10-08,10458.16
2002-10-09,10432.02
2002-10-10,10405.94
2002-10-11,10379.92
2002-10-14,10353.97
2002-10-15,10328.09
2002-10-16,10400.39
2002-10-17,10473.19
2002-10-18,10546.5
2002-10-21,10620.33
2002-10-22,10694.67
2002-11-22,10769.53
2002-12-03,10844.92
2002-12-12,10920.83
2002-12-13,10997.28
2002-12-18,11074.26
2002-12-23,11151.78
2003-01-03,11229.84
2003-01-08,11308.45
2003-01-13,11387.61
2003-01-21,11467.32
2003-01-27,11438.65
2003-01-28,11410.06
2003-01-29,11381.53
2003-01-30,11353.08
2003-01-31,11324.7
2003-02-03,11296.38
2003-02-04,11268.14
2003-02-05,11239.97
2003-02-06,11211.87
2003-02-07,11183.84
2003-02-10,11155.88
2003-02-11,11127.99
2003-02-12,11100.17
2003-02-13,11072.42
2003-02-14,11044.74
2003-02-18,11017.13
2003-02-19,10989.59
2003-02-20,10962.11
2003-02-21,10934.71
2003-02-24,10907.37
2003-02-25,10880.1
2003-05-28,10852.9
2003-05-29,10825.77
2003-05-30,10798.71
2003-06-02,10771.71
2003-06-03,10744.78
2003-06-04,10717.92
2003-06-05,10691.12
2003-06-06,10664.4
