date,equity
2001-09-19,9975.0
2001-09-20,9950.06
2001-09-21,9925.19
2001-09-24,9900.37
2001-09-25,9875.62
2001-09-26,9850.93
2001-09-27,9826.31
2001-09-28,9801.74
2001-10-01,9777.24
2001-10-02,9752.79
2001-10-03,9728.41
2001-10-04,9704.09
2001-12-27,9679.83
2002-01-04,9655.63
2002-01-10,9631.49
2002-01-11,9607.41
2002-01-14,9583.39
2002-01-15,9559.44
2002-01-16,9535.54
2002-01-17,9511.7
2002-01-18,9487.92
2002-02-05,9554.33
2002-02-06,9621.22
2002-02-07,9688.56
2002-03-05,9664.34
2002-03-14,9640.18
2002-03-18,9616.08
2002-03-19,9592.04
2002-03-20,9568.06
2002-03-21,9544.14
2002-03-22,9520.28
2002-03-25,9496.48
2002-03-26,9472.74
2002-03-27,9449.06
2002-03-28,9425.43
2002-04-01,9401.87
2002-04-02,9378.37
2002-04-03,9354.92
2002-04-04,9420.4
2002-04-05,9486.35
2002-04-08,9552.75
2002-04-09,9619.62
2002-04-10,9686.96
2002-04-11,9754.77
2002-04-29,9823.05
2002-05-13,9891.81
2002-05-14,9961.05
2002-05-15,10030.78
2002-05-16,10101.0
2002-05-17,10171.7
2002-05-20,10242.91
2002-05-21,10217.3
2002-05-22,10191.76
2002-05-23,10166.28
2002-05-24,10140.86
2002-05-28,10115.51
2002-06-04,10090.22
2002-06-05,10064.99
2002-06-06,10039.83
2002-06-07,10014.73
2002-06-10,9989.69
2002-06-11,9964.72
2002-06-12,9939.81
2002-06-13,9914.96
2002-06-14,9890.17
2002-06-17,9865.45
2002-06-18,9840.78
2002-06-19,9816.18
2002-06-20,9791.64
2002-06-21,9767.16
2002-06-24,9742.74
2002-06-25,9718.39
2002-06-26,9694.09
2002-06-27,9669.86
2002-06-28,9645.68
2002-07-01,9621.57
2002-07-03,9597.51
2002-07-08,9573.52
2002-12-05,9549.59
2002-12-06,9525.71
2002-12-11,9501.9
2002-12-12,9478.14
2002-12-13,9454.45
2002-12-16,9430.81
2002-12-17,9407.23
2002-12-18,9383.72
2002-12-19,9360.26
2002-12-20,9336.86
2002-12-23,9313.51
2002-12-24,9290.23
2002-12-26,9267.0
2002-12-27,9243.84
2002-12-30,9220.73
2002-12-31,9197.68
2003-01-02,9174.68
2003-01-03,9151.74
2003-01-06,9128.86
2003-01-07,9106.04
2003-01-08,9083.28
2003-01-09,9060.57
2003-01-10,9037.92
2003-01-13,9015.32
2003-01-14,8992.78
2003-01-15,8970.3
2003-01-16,8947.88
2003-01-17,8925.51
2003-01-21,8903.19
2003-01-22,8880.94
2003-01-23,8858.73
2003-02-04,8836.59
2003-05-05,8814.5
2003-05-06,8792.46
2003-05-12,8770.48
2003-05-14,8748.55
2003-05-15,8726.68
2003-05-16,8704.86
2003-05-19,8683.1
2003-05-20,8661.39
2003-05-21,8639.74
2003-05-22,8618.14
2003-05-23,8596.6
2003-05-27,8656.77
2003-05-28,8717.37
2003-07-17,8778.39
2003-07-18,8839.84
2003-07-21,8901.72
2003-07-22,8964.03
2003-07-23,8941.62
2003-07-24,8919.27
2003-07-25,8896.97
2003-07-28,8874.73
2003-07-29,8852.54
2003-07-30,8830.41
2003-07-31,8808.33
2003-08-01,8786.31
2003-08-04,8764.34
2003-08-05,8825.7
2003-08-06,8887.47
2003-08-07,8865.26
2003-08-08,8927.31
2003-08-11,8989.8
2003-08-12,9052.73
2003-08-13,9030.1
2003-08-14,9007.53
2003-08-15,9070.58
2003-08-18,9134.07
2003-08-19,9198.01
2003-08-20,9175.02
2003-08-21,9239.24
2003-08-22,9303.92
2003-08-28,9280.66
2003-09-11,9257.45
2003-09-15,9234.31
2003-09-18,9211.22
2003-09-25,9188.2
2003-10-07,9252.51
2003-11-14,9317.28
2003-11-24,9382.5
2003-11-25,9448.18
2003-11-26,9514.32
2003-12-01,9580.92
2003-12-02,9647.98
2003-12-03,9715.52
2003-12-04,9783.53
2003-12-05,9852.01
2003-12-08,9920.98
2003-12-09,9990.42
2003-12-10,10060.36
2003-12-11,10130.78
2003-12-12,10201.7
2003-12-15,10273.11
2003-12-16,10345.02
2003-12-17,10417.43
2003-12-18,10490.36
2003-12-19,10563.79
2003-12-22,10637.74
2003-12-23,10712.2
2003-12-24,10787.18
2003-12-29,10862.7
2003-12-30,10938.73
2004-01-06,11015.31
2004-01-08,11092.41
2004-01-12,11170.06
2004-01-13,11248.25
2004-01-14,11326.99
2004-01-15,11406.28
2004-01-16,11486.12
2004-01-20,11566.52
2004-01-21,11647.49
2004-01-22,11729.02
2004-01-23,11811.12
2004-01-26,11893.8
2004-01-27,11977.06
2004-01-28,12060.9
2004-02-04,12145.32
2004-02-09,12230.34
2004-02-12,12315.95
2004-02-17,12402.17
2004-02-26,12488.98
2004-02-27,12576.4
2004-03-01,12664.44
2004-03-02,12753.09
2004-03-03,12842.36
2004-03-04,12932.26
2004-03-05,13022.78
2004-03-08,13113.94
2004-03-09,13205.74
2004-03-10,13298.18
2004-03-11,13391.27
2004-03-12,13485.01
2004-03-15,13579.4
2004-03-16,13674.46
2004-03-17,13770.18
2004-03-18,13866.57
2004-03-19,13963.64
2004-03-22,14061.38
2004-03-23,14026.23
2004-03-24,14124.41
2004-03-25,14223.28
2004-03-26,14187.72
2004-03-29,14287.04
2004-03-30,14251.32
2004-03-31,14215.69
2004-04-01,14180.15
2004-04-02,14144.7
2004-04-05,14109.34
2004-04-06,14074.07
2004-04-07,14038.88
2004-04-08,14003.79
2004-04-12,13968.78
2004-04-13,13933.85
2004-04-14,13899.02
2004-04-15,13864.27
2004-04-16,13829.61
2004-04-19,13795.04
2004-04-20,13760.55
2004-04-21,13726.15
2004-04-22,13691.83
2004-04-23,13657.6
2004-04-26,13623.46
2004-04-27,13589.4
2004-04-28,13555.43
2004-07-12,13521.54
2004-07-16,13487.73
2004-07-20,13454.02
2004-07-23,13548.19
2004-07-26,13643.03
2004-07-27,13738.53
2004-07-28,13834.7
2004-07-29,13931.54
2004-07-30,13896.72
2004-08-02,13861.97
2004-08-03,13827.32
2004-08-04,13792.75
2004-08-05,13758.27
2004-08-06,13723.87
2004-08-09,13689.56
2004-08-10,13785.39
2004-08-11,13881.89
2004-08-12,13979.06
2004-08-13,14076.91
2004-08-16,14175.45
2004-08-17,14274.68
2004-08-18,14238.99
2004-08-19,14203.4
2004-08-20,14167.89
2004-08-23,14267.06
2004-08-24,14366.93
2004-08-25,14467.5
2004-08-26,14568.77
2004-08-27,14670.76
2004-08-30,14773.45
2004-08-31,14876.87
2004-09-01,14981.0
2004-09-02,15085.87
2004-10-11,15191.47
2004-10-12,15297.81
2004-10-13,15404.9
2004-10-14,15512.73
2004-10-15,15621.32
2004-10-18,15730.67
2004-10-19,15840.78
2004-10-20,15951.67
2004-10-21,16063.33
2004-10-22,16175.77
2004-10-25,16289.0
2004-10-26,16403.03
2004-10-27,16517.85
2004-10-28,16633.47
2004-10-29,16749.91
2004-11-01,16867.16
2004-11-02,16985.23
2004-11-03,17104.12
2004-11-04,17223.85
2004-11-05,17344.42
2004-11-08,17465.83
2004-11-09,17588.09
2004-11-10,17711.21
2004-11-11,17835.19
2004-11-12,17960.03
2004-11-15,18085.75
2004-11-16,18212.35
2004-11-17,18166.82
2004-11-18,18293.99
2004-11-19,18422.05
2004-11-22,18551.0
2004-11-23,18680.86
2004-11-24,18811.63
2004-11-29,18764.6
2004-11-30,18717.69
2004-12-01,18670.89
2004-12-02,18624.21
2004-12-03,18577.65
2004-12-06,18531.21
2004-12-07,18484.88
2004-12-08,18438.67
2004-12-09,18392.57
2004-12-13,18346.59
2004-12-15,18475.02
2004-12-17,18604.34
2004-12-20,18734.57
2005-02-22,18687.74
2005-02-23,18641.02
2005-02-24,18594.41
2005-02-25,18547.93
2005-02-28,18501.56
2005-03-01,18455.3
2005-03-02,18409.17
2005-03-03,18363.14
2005-03-04,18317.24
2005-03-07,18271.44
2005-03-08,18225.76
2005-03-09,18180.2
2005-03-10,18134.75
2005-03-11,18089.41
2005-03-14,18044.19
2005-03-15,17999.08
2005-03-16,17954.08
2005-03-17,17909.2
2005-03-18,17864.42
2005-03-21,17819.76
2005-03-22,17775.21
2005-03-23,17730.77
2005-03-24,17686.45
2005-03-28,17642.23
2005-03-29,17598.13
2005-04-11,17554.13
2005-06-03,17510.24
2005-06-06,17466.47
2005-06-07,17422.8
2005-06-08,17379.25
2005-06-09,17335.8
2005-06-10,17292.46
2005-06-13,17249.23
2005-06-14,17206.1
2005-06-15,17163.09
2005-06-24,17120.18
2005-09-26,17240.02
2005-09-27,17360.7
2005-09-28,17482.23
2005-09-29,17604.6
2005-09-30,17727.84
2005-10-03,17851.93
2005-10-04,17976.89
2005-10-05,18102.73
2005-10-06,18229.45
2005-10-07,18357.06
2005-10-10,18485.56
2005-10-11,18614.96
2005-10-12,18745.26
2005-10-13,18876.48
2005-10-14,19008.61
2005-10-17,19141.67
2005-10-18,19275.66
2005-10-19,19410.59
2005-10-20,19546.47
2005-10-21,19683.29
2005-10-24,19821.08
2005-10-25,19959.82
2005-11-29,20099.54
2005-11-30,20240.24
2005-12-01,20381.92
2005-12-06,20524.59
2005-12-08,20668.27
2005-12-12,20812.94
2005-12-13,20958.64
2005-12-14,21105.35
2005-12-15,21253.08
2005-12-16,21401.85
2005-12-19,21551.67
2005-12-20,21702.53
2005-12-21,21854.45
2005-12-22,22007.43
2005-12-23,22161.48
2005-12-27,22316.61
2005-12-28,22472.83
2005-12-29,22630.14
2005-12-30,22788.55
2006-01-03,22948.07
2006-01-04,23108.7
2006-01-05,23270.46
2006-01-06,23433.36
2006-01-09,23597.39
2006-01-10,23762.57
2006-01-11,23928.91
2006-01-12,24096.41
2006-01-13,24265.09
2006-01-17,24434.94
2006-01-18,24605.99
2006-01-19,24778.23
2006-01-20,24951.68
2006-01-23,25126.34
2006-01-24,25302.22
2006-01-25,25479.34
2006-01-26,25657.7
2006-01-27,25837.3
2006-01-30,26018.16
2006-01-31,26200.29
2006-02-01,26383.69
2006-02-02,26568.38
2006-02-03,26754.35
2006-02-06,26941.63
2006-02-07,27130.23
2006-02-08,27320.14
2006-02-09,27511.38
2006-02-10,27703.96
2006-02-13,27897.89
2006-02-14,28093.17
2006-02-15,28289.82
2006-02-16,28487.85
2006-02-17,28687.27
2006-02-21,28888.08
2006-02-22,29090.29
2006-02-23,29293.93
2006-02-24,29498.98
2006-02-27,29705.48
2006-02-28,29913.41
2006-03-02,30122.81
2006-03-03,30333.67
2006-03-06,30546.0
2006-03-07,30759.83
2006-03-08,30975.15
2006-03-09,31191.97
2006-03-10,31410.31
2006-03-13,31630.19
2006-03-14,31851.6
2006-03-15,32074.56
2006-03-16,32299.08
2006-03-17,32525.18
2006-03-20,32752.85
2006-03-21,32982.12
2006-03-22,33213.0
2006-03-23,33445.49
2006-03-24,33679.61
2006-03-27,33915.36
2006-03-28,34152.77
2006-03-29,34391.84
2006-03-30,34632.58
2006-04-19,34546.0
2006-04-20,34787.82
2006-04-21,35031.34
2006-04-24,35276.56
2006-04-25,35523.49
2006-04-26,35772.16
2006-04-27,36022.56
2006-04-28,36274.72
2006-05-01,36528.64
2006-05-02,36437.32
2006-05-03,36692.38
2006-05-04,36949.23
2006-05-05,37207.87
2006-05-08,37468.33
2006-05-09,37374.66
2006-05-10,37281.22
2006-05-11,37188.02
2006-05-12,37095.05
2006-05-15,37002.31
2006-05-16,36909.81
2006-05-17,36817.53
2006-05-18,36725.49
2006-05-19,36633.67
2006-05-22,36542.09
2006-05-23,36450.73
2006-05-24,36359.61
2006-05-25,36268.71
2006-05-26,36178.04
2006-05-30,36087.59
2006-05-31,35997.37
2006-06-01,35907.38
2006-06-02,35817.61
2006-06-05,35728.07
2006-06-06,35638.75
2006-06-07,35549.65
2006-08-01,35798.5
2006-08-02,36049.09
2006-08-03,36301.43
2006-08-04,36210.68
2006-08-07,36464.15
2006-08-08,36719.4
2006-08-09,36627.6
2006-08-10,36884.0
2006-08-11,37142.18
2006-08-14,37402.18
2006-08-15,37663.99
2006-08-16,37927.64
2006-08-17,38193.14
2006-08-18,38460.49
2006-08-21,38729.71
2006-08-22,39000.82
2006-08-23,38903.32
2006-08-24,39175.64
2006-08-25,39449.87
2006-08-28,39726.02
2006-08-29,40004.1
2006-08-30,39904.09
2006-08-31,39804.33
2006-09-01,39704.82
2006-09-04,39605.56
2006-09-05,39506.54
2006-09-06,39407.78
2006-09-07,39309.26
2006-09-08,39210.98
2006-09-11,39485.46
2006-09-12,39761.86
2006-09-13,40040.19
2006-09-18,40320.47
2006-09-20,40602.72
2006-09-21,40886.94
2006-09-22,41173.14
2006-11-10,41461.36
2006-11-13,41751.59
2006-11-14,42043.85
2006-11-15,42338.15
2006-11-16,42634.52
2006-11-17,42932.96
2006-11-20,43233.49
2006-11-21,43536.13
2006-11-22,43840.88
2006-11-27,43731.28
2006-11-28,43621.95
2006-11-29,43512.9
2006-11-30,43404.11
2006-12-01,43295.6
2006-12-04,43187.36
2006-12-05,43079.4
2006-12-06,42971.7
2006-12-07,42864.27
2006-12-08,42757.11
2006-12-11,42650.21
2006-12-12,42543.59
2006-12-13,42437.23
2006-12-14,42331.14
2006-12-15,42627.45
2006-12-18,42925.85
2006-12-19,43226.33
2006-12-20,43528.91
2006-12-21,43833.61
2006-12-22,44140.45
2006-12-26,44449.43
2006-12-27,44760.58
2006-12-28,45073.9
2007-02-27,44961.22
2007-02-28,44848.82
2007-03-01,44736.69
2007-03-02,45049.85
2007-03-05,45365.2
2007-03-06,45682.76
2007-03-07,46002.53
2007-03-08,46324.55
2007-03-09,46648.82
2007-03-12,46975.37
2007-03-13,47304.19
2007-03-14,47635.32
2007-03-15,47968.77
2007-03-16,48304.55
2007-03-19,48642.68
2007-03-20,48521.08
2007-03-21,48399.77
2007-04-27,48278.77
2007-05-02,48158.08
2007-05-04,48037.68
2007-05-08,47917.59
2007-05-09,47797.79
2007-09-28,48132.38
2007-10-01,48469.31
2007-10-02,48808.59
2007-10-03,49150.25
2007-10-04,49494.3
2007-10-05,49840.76
2007-10-08,50189.65
2007-10-09,50540.98
2007-10-10,50894.76
2007-10-11,51251.03
2007-10-12,51609.78
2007-10-15,51971.05
2007-10-16,52334.85
2007-10-17,52701.19
2007-10-18,53070.1
2007-10-19,53441.59
2007-10-22,53815.68
2007-10-23,54192.39
2007-10-24,54571.74
2007-10-25,54953.74
2007-10-26,55338.42
2007-10-29,55725.79
2007-10-30,56115.87
2007-10-31,56508.68
2007-11-01,56904.24
2007-11-02,56761.98
2007-11-05,56620.07
2007-11-06,56478.52
2007-11-07,56337.33
2007-11-09,56196.48
2007-11-12,56589.86
2007-11-13,56985.99
2007-11-14,57384.89
2007-11-15,57786.58
2007-11-16,58191.09
2007-11-19,58598.43
2007-11-20,59008.62
2007-11-21,59421.68
2007-11-23,59837.63
2007-11-29,60256.49
2007-12-06,60678.29
2007-12-13,61103.04
2008-01-10,61530.76
2008-01-14,61961.47
2008-01-15,62395.2
2008-01-16,62831.97
2008-01-17,63271.79
2008-01-18,63714.7
2008-01-22,64160.7
2008-01-23,64609.82
2008-01-24,65062.09
2008-01-25,65517.53
2008-01-28,65976.15
2008-01-29,66437.98
2008-01-30,66903.05
2008-01-31,67371.37
2008-02-01,67842.97
2008-02-04,68317.87
2008-02-05,68796.1
2008-02-06,69277.67
2008-02-07,69762.61
2008-02-08,70250.95
2008-02-11,70742.71
2008-02-12,71237.91
2008-02-19,71736.57
2008-02-28,72238.73
2008-03-05,72058.13
2008-03-06,71877.98
2008-03-07,71698.29
2008-03-10,72200.18
2008-03-11,72705.58
2008-03-12,72523.82
2008-03-13,72342.51
2008-03-14,72161.65
2008-03-17,71981.25
2008-03-18,71801.29
2008-03-19,71621.79
2008-03-20,72123.14
2008-03-24,72628.0
2008-03-25,72446.43
2008-03-26,72265.32
2008-03-27,72084.65
2008-03-28,71904.44
2008-03-31,71724.68
2008-04-01,72226.75
2008-04-02,72046.19
2008-04-03,71866.07
2008-04-04,71686.41
2008-04-07,71507.19
2008-04-08,71328.42
2008-04-09,71150.1
2008-07-08,71648.15
2008-07-09,72149.69
2008-07-10,71969.31
2008-07-11,71789.39
2008-07-14,71609.92
2008-07-15,71430.89
2008-07-16,71252.32
2008-07-17,71074.19
2008-07-18,70896.5
2008-07-21,70719.26
2008-07-22,70542.46
2008-07-23,70366.1
2008-07-24,70190.19
2008-07-25,70014.71
2008-07-28,69839.68
2008-07-29,69665.08
2008-07-30,69490.91
2009-02-13,69317.19
2009-02-19,69143.89
2009-02-20,68971.03
2009-02-23,68798.61
2009-02-24,68626.61
2009-02-25,68455.04
2009-03-06,68283.91
2009-03-23,68113.2
2009-04-02,68589.99
2009-05-21,69070.12
2009-05-27,69553.61
2009-06-02,69379.73
2009-06-03,69206.28
2009-06-04,69033.26
2009-06-05,68860.68
2009-06-08,68688.53
2009-06-09,68516.8
2009-06-10,68345.51
2009-06-11,68174.65
2009-06-12,68004.21
2009-06-15,67834.2
2009-06-16,67664.62
2009-06-17,67495.45
2009-06-18,67326.72
2009-06-19,67158.4
2009-06-22,67628.51
2009-06-23,68101.91
2009-06-24,68578.62
2009-06-25,69058.67
2009-06-26,68886.02
2009-06-29,69368.23
2009-06-30,69853.8
2009-09-10,70342.78
2009-09-11,70835.18
2009-09-17,70658.09
2009-09-18,70481.45
2009-09-21,70974.82
2009-09-22,71471.64
2009-09-23,71971.94
2009-09-24,72475.75
2009-09-25,72983.08
2009-09-28,73493.96
2009-09-29,74008.42
2009-09-30,74526.47
2009-10-01,75048.16
2009-10-02,75573.5
2009-10-05,76102.51
2009-10-06,76635.23
2009-10-07,77171.68
2009-10-08,77711.88
2009-10-09,78255.86
2009-10-12,78803.65
2009-10-13,79355.28
2009-10-14,79910.76
2009-10-15,80470.14
2009-10-16,81033.43
2009-10-19,81600.66
2009-10-20,82171.87
2009-10-21,82747.07
2009-10-22,83326.3
2009-10-23,83909.59
2009-10-26,84496.95
2009-10-27,85088.43
2009-10-28,85684.05
2009-10-29,86283.84
2009-10-30,86887.83
2009-11-02,87496.04
2009-11-03,88108.51
2009-11-04,88725.27
2009-11-05,89346.35
2009-11-06,89971.77
2009-11-09,90601.58
2009-11-10,91235.79
2009-11-11,91874.44
2009-11-12,92517.56
2009-11-27,92286.27
2009-12-02,92055.55
2009-12-03,91825.41
2009-12-04,91595.85
2009-12-07,91366.86
2009-12-08,91138.44
2009-12-09,91776.41
2009-12-10,92418.84
2009-12-11,93065.78
2009-12-14,93717.24
2009-12-15,94373.26
2009-12-16,94137.32
2009-12-17,94796.29
2009-12-18,95459.86
2009-12-21,96128.08
2009-12-22,96800.97
2009-12-23,97478.58
2009-12-24,98160.93
2009-12-28,98848.06
2009-12-29,99539.99
2010-03-26,100236.77
2010-04-06,100938.43
2010-04-07,101645.0
2010-04-08,102356.52
2010-04-09,103073.01
2010-04-12,102815.33
2010-04-13,103535.04
2010-04-14,103276.2
2010-04-15,103018.01
2010-04-16,103739.13
2010-04-19,104465.31
2010-04-20,105196.57
2010-04-21,105932.94
2010-04-22,106674.47
2010-04-23,107421.19
2010-04-26,108173.14
2010-04-27,108930.35
2010-04-28,109692.87
2010-04-29,109418.63
2010-04-30,109145.09
2010-05-03,108872.22
2010-05-04,109634.33
2010-05-05,110401.77
2010-05-06,111174.58
2010-05-07,110896.65
2010-05-10,110619.41
2010-05-11,110342.86
2010-05-12,110067.0
2010-05-13,109791.83
2010-05-14,109517.35
2010-05-17,109243.56
2010-05-18,108970.45
2010-05-19,108698.02
2010-05-20,109458.91
2010-05-21,110225.12
2010-05-24,109949.56
2010-05-25,110719.21
2010-05-26,110442.41
2010-05-27,110166.3
2010-05-28,109890.89
2010-06-29,109616.16
2010-06-30,109342.12
2010-07-01,110107.51
2010-07-02,110878.27
2010-07-06,111654.41
2010-07-07,112436.0
2010-07-08,113223.05
2010-07-09,114015.61
2010-07-12,114813.72
2010-07-13,115617.41
2010-07-14,116426.74
2010-08-25,117241.72
2010-08-26,118062.42
2010-08-27,118888.85
2010-08-30,119721.07
2010-08-31,120559.12
2010-09-01,121403.04
2010-09-02,122252.86
2010-09-03,123108.63
2010-09-07,123970.39
2010-09-08,124838.18
2010-09-09,125712.05
2010-09-10,126592.03
2010-09-13,127478.18
2010-09-14,128370.52
2010-09-17,129269.12
2010-09-28,130174.0
2010-10-11,131085.22
2010-10-18,132002.81
2010-10-19,132926.83
2010-10-20,133857.32
2010-10-21,134794.32
2010-10-22,135737.88
2010-10-25,136688.05
2010-10-26,137644.87
2010-10-27,138608.38
2010-10-28,139578.64
2010-10-29,140555.69
2010-11-01,141539.58
2010-11-02,142530.36
2010-11-03,143528.07
2010-11-04,144532.76
2010-11-05,145544.49
2010-11-08,146563.31
2010-11-09,147589.25
2010-11-10,148622.37
2010-11-11,149662.73
2010-11-12,150710.37
2010-11-15,151765.34
2010-11-16,152827.7
2010-11-17,153897.49
2010-11-18,154974.78
2010-11-19,156059.6
2010-11-22,157152.02
2010-11-23,158252.08
2010-11-24,159359.84
2010-11-26,160475.36
2010-11-29,161598.69
2010-11-30,162729.88
2010-12-01,163868.99
2010-12-02,165016.07
2010-12-03,164603.53
2010-12-06,164192.02
2010-12-07,163781.54
2010-12-08,164928.02
2010-12-09,166082.51
2010-12-10,167245.09
2010-12-13,166826.98
2010-12-14,166409.91
2010-12-15,165993.88
2010-12-16,167155.84
2010-12-17,168325.93
2010-12-20,167905.12
2010-12-21,167485.35
2010-12-22,168657.75
2010-12-23,169838.36
2010-12-27,171027.22
2010-12-28,172224.42
2010-12-29,173429.99
2010-12-30,174644.0
2010-12-31,175866.5
2011-01-03,177097.57
2011-01-04,178337.25
2011-01-05,179585.61
2011-01-06,180842.71
2011-01-07,182108.61
2011-01-10,183383.37
2011-01-11,184667.06
2011-01-13,185959.73
2011-01-18,187261.44
2011-01-24,188572.27
2011-01-26,189892.28
2011-03-04,191221.53
2011-03-07,192560.08
2011-03-08,193908.0
2011-03-09,195265.35
2011-03-10,196632.21
2011-03-11,198008.64
2011-03-14,199394.7
2011-03-15,200790.46
2011-03-16,202195.99
2011-03-17,203611.36
2011-03-18,205036.64
2011-03-21,206471.9
2011-03-22,207917.2
2011-03-23,209372.62
2011-03-24,210838.23
2011-03-25,212314.1
2011-03-28,213800.3
2011-03-29,215296.9
2011-03-30,216803.98
2011-03-31,218321.61
2011-04-01,219849.86
2011-04-04,221388.81
2011-04-05,222938.53
2011-04-06,224499.1
2011-04-07,226070.59
