date,open,high,low,close,volume,symbol,Candle_Dir,Body,Upper_Wick,Lower_Wick,Candle_Range,Body_Ratio,Upper_Wick_Ratio,Lower_Wick_Ratio,Body_Ratio_MA5,Doji,Hammer,Shooting_Star,Pin_Bar,Bullish_Engulfing,Bearish_Engulfing,Inside_Bar,Outside_Bar,Swing_High,Swing_Low,Prev_Swing_High,Prev_Swing_Low,HH,LH,HL,LL,Uptrend_Structure,Downtrend_Structure,Return_1d,Return_5d,Return_10d,Return_20d,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,SMA20_above_SMA50,Crossover,Cross_Type,Days_Since_GC,Days_Since_DC,MA_Gap_Pct,Price_vs_SMA20_Pct,Price_vs_SMA50_Pct,Above_SMA20,Above_SMA50,Above_SMA200,Bullish_MA_Stack,Bullish_Regime,EMA20_above_EMA50,EMA_Cross_Type,RSI,RSI_Slope,RSI_Regime,RSI_Rising,RSI_Bullish,MACD,MACD_Signal,MACD_Hist,MACD_Bullish,MACD_Hist_Slope,ROC_10,ATR,ATR_Pct,BB_Upper,BB_Mid,BB_Lower,BB_Width,BB_Pct,BB_Room_To_Run,HVol_20,Vol_Regime_Pctile,Vol_Regime,ADX,Plus_DI,Minus_DI,ADX_Strong,ADX_Bullish,Trend_Regime,RSI_x_ADX,MACD_x_BB,Price_ZScore_20,Return_Autocorr_10,Confirm_Count,Confirm_MA10,Confirm_Stability,Setup_Duration,DayOfWeek,Month,Quarter,Month_Sin,Month_Cos,DoW_Sin,DoW_Cos,Q4_Season,Summer_Lull,future_max_high,future_max_ret,future_min_low,future_min_ret,tp_hit,sl_hit,real_win,strategy_fired,gc_in_window,strategy_correct,gc_correct,signal,score,t1_gate,t2_pa,t3_gc,risk_plan
2025-04-21,32.65,32.785,32.496,32.496,56,SILVER_CFD,-1,0.1539999999999963,0.134999999999998,0.0,0.2889999999999944,0.5328719723183369,0.4671280276816631,0.0,,0,0,0,0,0,0,0,0,0,0,35.265,28.31,0,0,0,0,1,0,0.2344231955583087,2.111613876319751,11.608737463937358,-2.3851006308200584,32.4498,32.71354,31.083585,32.25994999221683,32.36454057167602,False,0.0,NONE,55.0,3.0,-0.8062105171131148,0.1423737588521532,-0.6649845904784368,1,0,1,0,1,0,NONE,40.585693710993766,-0.7632237061359248,0,1,1,-0.236406596056824,-0.3376719741934885,0.1012653781366644,1,0.0781220070158762,11.608737463937358,1.081428571428571,3.327882112963352,36.12924112460801,32.4498,28.770358875391985,0.2267774300370425,0.5062781273616558,1,49.9900409020372,0.8666666666666667,1,40.86088879746303,20.455746367239072,49.09511228533688,1,0,1,0.3316735034985622,0.0512684460096004,0.025112509446623,0.1228502159283179,5,3.4,0.9660917830792936,0,0,4,2,0.8660254037844387,-0.4999999999999998,0.0,1.0,0,0,37.255,14.644879369768587,31.685,-2.495691777449543,1,0,1,0,0,0,0,NO_TRIGGER,0,PASS,Strong_Bull,FAIL — MAs bearish,
2025-04-22,32.88,32.88,32.88,32.88,1,SILVER_CFD,1,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0,0,0,0,0,0,35.265,28.31,0,0,0,0,1,1,1.1816838995568624,2.4554406082512914,11.419857675364288,-1.1573726138583984,32.43055,32.72444,31.091045,32.319002373910465,32.38475466690441,False,0.0,NONE,56.0,4.0,-0.8980749555989489,1.3858846057190086,0.4753633675625962,1,1,1,0,1,0,NONE,43.91428571428572,3.507393861857004,0,1,1,-0.1574590310694077,-0.3016293855686723,0.1441703544992646,1,0.0758176097424537,11.419857675364288,1.0726428571428568,3.2622957942300994,36.09603547656792,32.43055,28.76506452343208,0.2260513914545341,0.5613083864160927,1,50.20158357189045,0.8333333333333334,1,40.96961262404651,21.255909968702145,47.88572950655926,1,0,1,0.3598302548751971,0.0809240290530183,0.245233545664372,0.1324894790308156,5,3.7,0.9486832980505115,0,1,4,2,0.8660254037844387,-0.4999999999999998,0.9510565162951536,0.3090169943749474,0,0,37.255,13.30596107055961,31.685,-3.634428223844294,1,1,1,0,0,0,0,NO_TRIGGER,0,PASS,Strong_Bull,FAIL — MAs bearish,
2025-04-23,33.55,33.55,33.518,33.518,52,SILVER_CFD,-1,0.0319999999999964,0.0,0.0,0.0319999999999964,1.0,0.0,0.0,,0,0,0,0,0,0,0,0,1,0,33.55,28.31,0,1,0,0,0,1,1.940389294403877,4.005957737301036,13.267099216004327,-1.4234456796659023,32.40635,32.74696,31.105545,32.43319262401423,32.42919566035914,False,0.0,NONE,57.0,5.0,-1.040127083552199,3.4303462130107354,2.354539169437405,1,1,1,0,1,1,EMA_GOLDEN,45.45707140872464,6.021388338232498,0,1,1,-0.042916533930331,-0.2498868152410041,0.206970281310673,1,0.1057049031740086,13.267099216004327,1.0707142857142853,3.194445628361732,36.034350828350135,32.40635,28.77834917164985,0.2239067854510082,0.6532042097831517,1,50.05027121848629,0.8166666666666667,1,41.37482547892317,24.49633088725816,47.971981320880616,1,0,1,0.3761556792637859,0.1351938590521348,0.6128168391326058,0.1368149204119164,4,3.9,0.7378647873726193,0,2,4,2,0.8660254037844387,-0.4999999999999998,0.5877852522924732,-0.8090169943749473,0,0,37.255,11.149233247807153,31.685,-5.468703383256764,1,1,1,0,0,0,0,NO_TRIGGER,0,PASS,Strong_Bull,FAIL — MAs bearish,
2025-04-24,33.325,33.482,33.325,33.482,93,SILVER_CFD,1,0.1569999999999964,0.0,0.0,0.1569999999999964,1.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,33.55,28.31,0,0,0,0,0,1,-0.1074049764305806,1.688635121180826,10.417834646967638,-1.6190168365997737,32.3788,32.77198,31.119095,32.53307904077478,32.47048210505094,False,0.0,NONE,58.0,6.0,-1.199744415808874,3.407167652908697,2.1665459334468045,1,1,1,0,1,1,NONE,60.014673514306665,19.4289798033129,0,1,1,0.0444420211949392,-0.1910210479538154,0.2354630691487546,1,0.09129271464949,10.417834646967638,0.8792142857142851,2.625931203973135,35.962893666536814,32.3788,28.794706333463186,0.2213852067733712,0.6539022278212366,1,50.04666713774514,0.7833333333333333,1,40.24583795395681,29.831830368023397,36.63985701519215,1,0,1,0.4830681650232818,0.1539698254859965,0.6156089112849467,0.1376286617177516,4,4.0,0.6666666666666642,0,3,4,2,0.8660254037844387,-0.4999999999999998,-0.587785252292473,-0.8090169943749475,0,0,37.255,11.268741413296707,31.685,-5.367062899468373,1,1,1,0,0,0,0,NO_TRIGGER,0,PASS,Strong_Bull,FAIL — MAs bearish,
2025-04-25,32.989,32.989,32.989,32.989,93,SILVER_CFD,1,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0,0,0,0,0,0,33.55,28.31,0,0,0,0,0,1,-1.4724329490472532,1.7550894509561932,7.557627726516891,-5.467518697882346,32.2834,32.777860000000004,31.130405,32.57650008451051,32.49081614014698,False,0.0,NONE,59.0,7.0,-1.5085182498186385,2.1856433956770256,0.6441543163586433,1,1,1,0,1,1,NONE,82.5845532559313,38.67026754164558,1,1,1,0.0730512365073821,-0.1382065910615759,0.211257827568958,1,0.0042875462582849,7.557627726516891,0.719571428571428,2.181246562707048,35.68204353126576,32.2834,28.88475646873424,0.2105505325502123,0.6038061205167359,1,49.30815155834227,0.7666666666666667,1,38.63123813053106,36.4502680166766,23.19833234067903,1,1,1,0.6380687085466812,0.1275587692932061,0.4152244820669433,0.1206827228102629,5,4.2,0.6324555320336739,0,4,4,2,0.8660254037844387,-0.4999999999999998,-0.9510565162951536,0.3090169943749472,0,0,37.255,12.931583255024421,31.685,-3.9528327624359596,1,1,1,0,0,0,0,NO_TRIGGER,0,PASS,Strong_Bull,FAIL — MAs bearish,
2025-04-28,32.99,32.99,32.99,32.99,38963,SILVER_CFD,1,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0,0,0,0,0,0,33.55,28.31,0,0,0,0,0,1,0.0030313134681492,1.520187099950765,3.663901458019114,-4.774275487818946,32.2007,32.78466,31.138385,32.61588102884285,32.51039197778828,False,0.0,NONE,60.0,8.0,-1.7811988899686764,2.451188949308569,0.6263295089837736,1,1,1,0,1,1,NONE,81.35135135135131,35.894279942626675,1,0,1,0.0947131432449737,-0.091622644200266,0.1863357874452397,1,-0.0491272817035149,3.663901458019114,0.5660714285714281,1.7158879314077846,35.43395679706585,32.2007,28.967443202934145,0.200819037913204,0.6220595903047793,1,49.28860533607134,0.1333333333333333,-1,37.56170351457154,46.3470031545742,19.318611987381747,1,1,1,0.6111390679938393,0.1159119635973042,0.4882383612191187,0.1225158443191016,5,4.3,0.6749485577105512,0,0,4,2,0.8660254037844387,-0.4999999999999998,0.0,1.0,0,0,37.255,12.928160048499546,31.685,-3.9557441648984635,1,1,1,0,0,0,0,NO_TRIGGER,0,PASS,Strong_Bull,FAIL — MAs bearish,
2025-04-29,33.095,33.515,32.82,33.275,9484,SILVER_CFD,1,0.1799999999999997,0.240000000000002,0.2749999999999986,0.6950000000000003,0.2589928057553952,0.345323741007197,0.3956834532374079,,0,0,0,0,0,0,0,1,0,0,33.55,28.31,0,0,0,0,0,1,0.8638981509548227,1.2013381995133798,3.6862769537579383,-3.430362480773141,32.1416,32.79414,31.15033,32.67865426419115,32.540376606110314,False,0.0,NONE,61.0,9.0,-1.9898067154680743,3.526271249719995,1.466298552119372,1,1,1,0,1,1,NONE,82.00938640709191,21.994712892785245,1,1,1,0.1333404132730535,-0.0466300327056021,0.1799704459786557,1,-0.0312873815903023,3.6862769537579383,0.5578571428571425,1.6765053128689482,35.24167248811411,32.1416,29.04152751188588,0.1929009438306814,0.6828021771015892,1,49.4275787431932,0.1333333333333333,-1,37.02001870038887,53.75160051216393,19.60307298335472,1,1,1,0.6071978036795919,0.12288421232817,0.7312087084063572,0.1265024306795855,5,4.5,0.5270462766947283,0,1,4,2,0.8660254037844387,-0.4999999999999998,0.9510565162951536,0.3090169943749474,0,0,37.255,11.96093163035313,31.685,-4.778362133734034,1,1,1,0,0,0,0,NO_TRIGGER,0,PASS,Strong_Bull,FAIL — MAs bearish,
2025-04-30,32.89,32.99,32.135,32.531,622,SILVER_CFD,-1,0.3590000000000017,0.1000000000000014,0.3960000000000008,0.855000000000004,0.4198830409356726,0.1169590643274865,0.4631578947368409,,0,0,0,0,0,0,0,0,0,0,33.55,28.31,0,0,0,0,0,1,-2.2359128474830903,-2.9446864371382557,0.9433084059949692,-4.763159435564146,32.06025,32.778420000000004,31.159625,32.66459195331581,32.54000889606677,False,0.0,NONE,62.0,10.0,-2.190984190208072,1.4683291615005971,-0.7548258884961669,1,0,1,0,1,1,NONE,69.14672216441204,-13.437831091519255,0,0,1,0.1027339677021998,-0.0167572326240417,0.1194912003262416,1,-0.0668445871189981,0.9433084059949692,0.5629999999999996,1.730656911868678,35.0197322360079,32.06025,29.10076776399211,0.1846200348411439,0.579532492926026,1,49.9311176561262,0.1833333333333333,-1,35.860935348450624,53.2605937579295,23.83912712509523,1,1,1,0.4959332266190516,0.0692490332077899,0.3181299717041045,0.1168762800360892,5,4.6,0.516397779494321,0,2,4,2,0.8660254037844387,-0.4999999999999998,0.5877852522924732,-0.8090169943749473,0,0,37.255,14.521533306692092,31.685,-2.600596354246719,1,1,1,0,0,0,0,NO_TRIGGER,0,PASS,Strong_Bull,FAIL — MAs bearish,
2025-05-01,32.545,32.555,31.685,32.189,556,SILVER_CFD,-1,0.3560000000000016,0.009999999999998,0.5040000000000013,0.870000000000001,0.409195402298852,0.0114942528735609,0.579310344827587,,0,0,0,0,0,0,0,0,0,1,33.55,31.685,0,0,1,0,0,0,-1.051304909163564,-3.8617764769129694,-2.2383526696228007,-6.69584625641324,31.94475,32.76234,31.164595,32.619297481571444,32.52624384131906,False,0.0,NONE,63.0,11.0,-2.495517719430305,0.7646013820737397,-1.7499971003292247,1,0,1,0,1,1,NONE,63.17708333333333,-18.174268018017983,0,0,1,0.050301750030421,-0.0033454360931491,0.0536471861235701,1,-0.1263232598550855,-2.2383526696228007,0.5732142857142853,1.7807769291195297,34.6749056442973,31.94475,29.214594355702697,0.1709298488357116,0.5447318819551896,1,49.78740194826759,0.2166666666666666,-1,34.33163955119359,43.25233644859816,29.02180685358262,1,1,0,0.4337945705791439,0.0292233326586927,0.1789275278207569,0.1130205303963233,5,4.7,0.483045891539647,0,3,5,2,0.4999999999999999,-0.8660254037844387,-0.587785252292473,-0.8090169943749475,0,0,37.255,15.7382956910746,31.91,-0.8667557240050947,1,0,1,0,0,0,0,NO_TRIGGER,0,PASS,Strong_Bull,FAIL — MAs bearish,
2025-05-02,32.385,32.675,31.91,31.989,74,SILVER_CFD,-1,0.3959999999999972,0.2899999999999991,0.0790000000000006,0.764999999999997,0.5176470588235278,0.3790849673202618,0.1032679738562103,,0,0,0,0,0,0,0,0,0,0,33.55,31.685,0,0,0,0,0,0,-0.6213302681040034,-3.031313468125729,-1.3294262800740309,0.4553448059289033,31.952000000000005,32.73324,31.173855000000003,32.55926914999321,32.50517545538498,False,0.0,NONE,64.0,12.0,-2.386687049616832,0.1157986980470564,-2.27365210409969,1,0,1,0,1,1,NONE,51.71624713958809,-30.29313926750382,0,0,1,-0.0073052780603504,-0.0041374044865894,-0.003167873573761,0,-0.1226590739000026,-1.3294262800740309,0.5454999999999993,1.7052736878301895,34.6817992214551,31.952000000000005,29.222200778544916,0.1708687544726523,0.5067770551968052,1,40.80544709228593,0.15,-1,32.63903578952553,36.88621186329711,30.496268168128932,1,1,0,0.3375936882577925,-0.0016054056409463,0.0271082207872218,0.1171886500955692,4,4.7,0.483045891539647,0,4,5,2,0.4999999999999999,-0.8660254037844387,-0.9510565162951536,0.3090169943749472,0,0,37.255,16.46190878114352,31.91,-0.24695989246303612,1,0,1,0,0,0,0,NO_TRIGGER,0,PASS,Strong_Bull,FAIL — MAs bearish,
